"year","total_births","male_births","female_births","crude_birth_rate","sex_ratio_at_birth","total_fertility_rate"
"2023","727288","372603","354685","6.0","105.1","1.20"
"2022","770759","395257","375502","6.3","105.3","1.26"
"2021","811622","415903","395719","6.6","105.1","1.30"
"2020","840835","430713","410122","6.8","105.0","1.33"
"2019","865239","443430","421809","7.0","105.1","1.36"
"2018","918400","470851","447549","7.4","105.2","1.42"
"2017","946146","484478","461668","7.6","104.9","1.43"
"2016","977242","502012","475230","7.8","105.6","1.44"
"2015","1005721","515468","490253","8.0","105.1","1.45"
"2014","1003609","515572","488037","8.0","105.6","1.42"
"2013","1029817","527657","502160","8.2","105.1","1.43"
"2012","1037232","531781","505451","8.2","105.2","1.41"
"2011","1050807","538271","512536","8.3","105.0","1.39"
"2010","1071305","550743","520562","8.5","105.8","1.39"
"2009","1070036","548994","521042","8.5","105.4","1.37"
"2008","1091156","559513","531643","8.7","105.2","1.37"
"2007","1089818","559847","529971","8.6","105.6","1.34"
"2006","1092674","560439","532235","8.7","105.3","1.32"
"2005","1062530","545032","517498","8.4","105.3","1.26"
"2004","1110721","569559","541162","8.8","105.2","1.29"
"2003","1123610","576736","546874","8.9","105.5","1.29"
"2002","1153855","592840","561015","9.2","105.7","1.32"
"2001","1170662","600918","569744","9.3","105.5","1.33"
"2000","1190547","612148","578399","9.5","105.8","1.36"
"1999","1177669","604769","572900","9.4","105.6","1.34"
"1998","1203147","617414","585733","9.6","105.4","1.38"
"1997","1191665","610905","580760","9.5","105.2","1.39"
"1996","1206555","619793","586762","9.7","105.6","1.43"
"1995","1187064","608547","578517","9.6","105.2","1.42"
"1994","1238328","635915","602413","10.0","105.6","1.50"
"1993","1188282","610244","578038","9.6","105.6","1.46"
"1992","1208989","622136","586853","9.8","106.0","1.50"
"1991","1223245","628615","594630","9.9","105.7","1.53"
"1990","1221585","626971","594614","10.0","105.4","1.54"
"1989","1246802","640506","606296","10.2","105.6","1.57"
"1988","1314006","674883","639123","10.8","105.6","1.66"
"1987","1346658","692304","654354","11.1","105.8","1.69"
"1986","1382946","711301","671645","11.4","105.9","1.72"
"1985","1431577","735284","696293","11.9","105.6","1.76"
"1984","1489780","764597","725183","12.5","105.4","1.81"
"1983","1508687","775206","733481","12.7","105.7","1.80"
"1982","1515392","777855","737537","12.8","105.5","1.77"
"1981","1529455","786596","742859","13.0","105.9","1.74"
"1980","1576889","811418","765471","13.6","106.0","1.75"
"1979","1642580","845884","796696","14.2","106.2","1.77"
"1978","1708643","879149","829494","14.9","106.0","1.79"
"1977","1755100","903380","851720","15.5","106.1","1.80"
"1976","1832617","943829","888788","16.3","106.2","1.85"
"1975","1901440","979091","922349","17.1","106.2","1.91"
"1974","2029989","1046538","983451","18.6","106.4","2.05"
"1973","2091983","1077517","1014466","19.4","106.2","2.14"
"1972","2038682","1051389","987293","19.3","106.5","2.14"
